,year,title_status,drive,condition
0,2012.0,0,0,0
24,2008.0,0,1,2
48,2004.0,0,0,2
112,2011.0,0,1,0
135,2016.0,0,0,2
136,2018.0,0,0,2
137,2010.0,0,2,2
138,2018.0,0,0,2
139,2011.0,0,0,2
170,2004.0,0,1,3
171,1950.0,0,1,3
172,2004.0,0,0,0
173,1955.0,0,1,2
177,2007.0,0,0,0
180,2008.0,3,2,0
182,2006.0,3,1,2
192,2013.0,0,1,0
198,2013.0,0,0,0
200,2008.0,0,0,0
203,2012.0,0,0,0
273,2017.0,0,1,3
277,1998.0,0,0,1
278,1977.0,0,0,1
309,2002.0,0,0,0
313,1999.0,0,0,0
324,1991.0,0,2,0
359,2005.0,0,2,0
362,1998.0,0,1,0
367,2009.0,0,1,0
395,2008.0,0,0,2
399,2017.0,0,2,2
421,2014.0,1,1,0
427,2020.0,0,0,4
439,2004.0,0,2,0
443,1992.0,0,0,2
444,1964.0,0,2,2
449,2005.0,0,0,0
453,1995.0,0,0,3
454,2009.0,0,0,0
455,2013.0,0,1,0
456,2010.0,0,1,0
458,2001.0,3,0,2
476,2002.0,0,0,0
484,2014.0,0,0,0
494,2006.0,0,1,2
554,2011.0,0,1,0
566,2010.0,1,0,0
569,2009.0,0,2,1
582,2008.0,0,0,2
583,2005.0,0,0,2
593,2010.0,0,1,0
635,2018.0,0,0,4
637,2014.0,0,1,0
648,2008.0,0,1,0
654,2002.0,0,0,2
664,2002.0,0,1,0
681,2008.0,0,1,2
711,2003.0,2,1,1
733,2014.0,0,1,2
736,2008.0,0,0,2
774,2012.0,0,2,2
792,2005.0,0,2,2
808,2013.0,0,1,2
816,2013.0,0,0,0
819,2015.0,0,0,2
864,2015.0,0,0,2
872,2009.0,0,0,2
877,2014.0,0,0,0
878,2015.0,0,1,0
879,2013.0,0,0,0
881,2014.0,0,0,0
882,2013.0,0,0,0
884,2013.0,0,0,0
888,2017.0,0,1,2
890,2012.0,0,0,2
892,1993.0,0,0,1
906,2013.0,0,0,2
929,2014.0,0,0,2
1004,2009.0,0,2,2
1006,1998.0,0,2,2
1008,2014.0,0,0,2
1010,2013.0,0,0,2
1013,2006.0,0,2,2
1014,1999.0,0,0,2
1015,2006.0,0,2,2
1017,2013.0,0,2,2
1019,2010.0,0,1,2
1020,2016.0,0,2,2
1021,2011.0,0,0,2
1022,2009.0,0,2,2
1027,2005.0,0,0,2
1028,2006.0,0,2,2
1030,2003.0,0,2,2
1031,2016.0,0,2,2
1032,2013.0,0,2,2
1033,2015.0,0,2,2
1034,2015.0,0,2,2
1035,2016.0,0,2,2
1037,2018.0,0,2,2
1038,2015.0,0,2,2
1040,2015.0,0,1,2
1041,2012.0,0,0,2
1047,2008.0,0,2,2
1048,2012.0,0,2,2
1049,2015.0,0,0,2
1050,2014.0,0,0,2
1068,2006.0,0,0,2
1083,2014.0,0,0,0
1092,2010.0,0,0,0
1093,2015.0,0,0,3
1094,1974.0,0,2,1
1098,2008.0,0,0,0
1100,2011.0,0,1,0
1122,2011.0,0,0,0
1139,2014.0,0,1,0
1169,2012.0,0,0,0
1173,2009.0,0,1,0
1178,2014.0,0,1,0
1181,2017.0,0,0,0
1182,2008.0,0,0,2
1188,2011.0,0,0,2
1189,2010.0,0,0,2
1190,2011.0,0,1,2
1191,2007.0,0,0,2
1192,2008.0,0,1,2
1193,2015.0,0,0,2
1206,2008.0,0,0,2
1207,2016.0,0,0,0
1209,2017.0,0,0,3
1212,2015.0,0,0,0
1215,2010.0,0,0,2
1221,2016.0,0,0,0
1227,2016.0,0,0,3
1236,2005.0,0,0,2
1239,2004.0,0,1,2
1246,2012.0,0,0,2
1266,2015.0,0,0,2
1269,2014.0,0,0,2
1272,2016.0,0,2,0
1276,2007.0,0,1,2
1277,2016.0,0,0,3
1280,2015.0,0,0,0
1310,2009.0,0,0,0
1311,2017.0,0,0,0
1313,2012.0,0,0,0
1316,2016.0,0,1,0
1319,2019.0,0,0,0
1320,2016.0,0,1,0
1321,2016.0,0,0,0
1322,2016.0,0,0,0
1323,2017.0,0,1,0
1325,2016.0,0,0,0
1327,2010.0,0,0,0
1328,2006.0,0,0,0
1329,2007.0,0,0,0
1331,2011.0,0,0,0
1332,2016.0,0,1,0
1334,2014.0,0,0,0
1335,2013.0,0,1,0
1336,2014.0,0,2,0
1340,2012.0,0,1,0
1341,2014.0,0,0,0
1343,2014.0,0,0,0
1344,2016.0,0,0,0
1345,2015.0,0,0,0
1348,2016.0,0,0,0
1349,2019.0,0,1,0
1350,2013.0,0,0,0
1351,2013.0,0,1,0
1353,2019.0,0,1,0
1354,2017.0,0,0,3
1355,2018.0,0,1,0
1356,2016.0,0,0,0
1357,2018.0,0,1,0
1358,2016.0,0,0,0
1360,2016.0,0,0,0
1362,2013.0,0,0,0
1363,2016.0,0,0,0
1364,2016.0,0,0,0
1365,2016.0,0,0,0
1366,2019.0,0,0,0
1367,2014.0,0,2,0
1368,2017.0,0,0,0
1369,2019.0,0,0,0
1370,2015.0,0,1,0
1372,2017.0,0,0,0
1374,2017.0,0,2,0
1375,2018.0,0,1,0
1376,2019.0,0,0,0
1377,2018.0,0,1,0
1378,2015.0,0,0,0
1379,2016.0,0,0,0
1380,2016.0,0,0,0
1381,2016.0,0,1,0
